# Logfile created on 2026-03-28 00:56:58 +0100 by logger.rb/v1.5.3
2026-03-28 00:56:59 +0100: Memory Usage (449384K) : metal1_mask has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449384K) : metal1_filler has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449384K) : metal1_nofill has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449384K) : metal1_slit has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449384K) : metal1_text has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449384K) : metal1_opc has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449384K) : metal1_noqrc has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449384K) : metal1_res has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449384K) : metal1_iprobe has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449384K) : metal1_diffprb has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449384K) : passiv_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449384K) : passiv_pin has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449384K) : passiv_sbump has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449384K) : passiv_pillar has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449384K) : passiv_pdl has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : metal2_drw has 98 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : metal2_pin has 12 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : metal2_mask has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : metal2_filler has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : metal2_nofill has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : metal2_slit has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : metal2_text has 1 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : metal2_opc has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : metal2_noqrc has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : metal2_res has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : metal2_iprobe has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : metal2_diffprb has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : baspoly_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : baspoly_pin has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : psd_drw has 24 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : nldb_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : digibnd_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : via1_drw has 9590 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : backmetal1_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : backmetal1_pin has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : backmetal1_mask has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : backmetal1_filler has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : backmetal1_nofill has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : backmetal1_slit has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : backmetal1_text has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : backmetal1_opc has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : backmetal1_noqrc has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : backmetal1_res has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : backmetal1_iprobe has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : backmetal1_diffprb has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : backpassiv_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : res_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : sram_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : trans_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : ind_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : ind_pin has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : ind_text has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (449708K) : salblock_drw has 7 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : via2_drw has 10845 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : metal3_drw has 75 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : metal3_pin has 13 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : metal3_mask has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : metal3_filler has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : metal3_nofill has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : metal3_slit has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : metal3_text has 5 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : metal3_opc has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : metal3_noqrc has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : metal3_res has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : metal3_iprobe has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : metal3_diffprb has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : nwell_drw has 5 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : nwell_pin has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : nbulay_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : nbulay_pin has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : nbulay_block has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : emwind_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : emwind_opc has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450412K) : deepco_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450676K) : deepco_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450676K) : mim_drw has 2 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450676K) : edgeseal_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450940K) : edgeseal_bound has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (450940K) : substrate_drw has 723 polygons
2026-03-28 00:56:59 +0100: Memory Usage (451204K) : substrate_text has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (451204K) : dfpad_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (451204K) : dfpad_pillar has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (451204K) : dfpad_sbump has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (451468K) : thickgateox_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (451468K) : pldb_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (451732K) : pwell_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (451732K) : pwell_pin has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (451732K) : pwell_block has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (451996K) : ic_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : via3_drw has 14951 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : metal4_drw has 48 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : metal4_pin has 3 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : metal4_mask has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : metal4_filler has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : metal4_nofill has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : metal4_slit has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : metal4_text has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : metal4_opc has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : metal4_noqrc has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : metal4_res has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : metal4_iprobe has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : metal4_diffprb has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : heattrans_drw has 421 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : heatres_drw has 7 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : pempoly_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : fbe_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : empoly_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : ldmos_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : pbiwind_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : digisub_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : nodrc_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (455428K) : text_drw has 1107 polygons
2026-03-28 00:56:59 +0100: Memory Usage (457276K) : via4_drw has 14844 polygons
2026-03-28 00:56:59 +0100: Memory Usage (457276K) : metal5_drw has 39 polygons
2026-03-28 00:56:59 +0100: Memory Usage (457276K) : metal5_pin has 4 polygons
2026-03-28 00:56:59 +0100: Memory Usage (457276K) : metal5_mask has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (457276K) : metal5_filler has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (457276K) : metal5_nofill has 0 polygons
