# Logfile created on 2026-03-28 00:56:53 +0100 by logger.rb/v1.5.3
2026-03-28 00:56:55 +0100: Memory Usage (451684K) : dfpad_pillar has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (451684K) : dfpad_sbump has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (451684K) : thickgateox_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (451684K) : pldb_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (451684K) : pwell_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (451684K) : pwell_pin has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (451684K) : pwell_block has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (451684K) : ic_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : via3_drw has 14951 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal4_drw has 48 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal4_pin has 3 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal4_mask has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal4_filler has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal4_nofill has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal4_slit has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal4_text has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal4_opc has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal4_noqrc has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal4_res has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal4_iprobe has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal4_diffprb has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : heattrans_drw has 421 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : heatres_drw has 7 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : pempoly_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : fbe_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : empoly_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : ldmos_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : pbiwind_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : digisub_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : nodrc_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : text_drw has 1107 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : via4_drw has 14844 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal5_drw has 39 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal5_pin has 4 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal5_mask has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal5_filler has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal5_nofill has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal5_slit has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal5_text has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal5_opc has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal5_noqrc has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal5_res has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal5_iprobe has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : metal5_diffprb has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : radhard_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : memcap_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : varicap_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : flash_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : intbondvia_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : intbondmet_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : devbondvia_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : devbondmet_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : devtrench_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : redist_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : graphbot_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : graphtop_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : antvia1_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : antmetal2_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : graphcont_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : siwg_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : siwg_filler has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : siwg_nofill has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453268K) : sigrating_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453532K) : singrating_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453532K) : graphpas_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453532K) : emwind3_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453796K) : emwihv3_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (453796K) : redbulay_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (454060K) : smos_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (454060K) : graphpad_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (454060K) : polimide_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (454324K) : polimide_pin has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (454324K) : recog_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (454588K) : recog_pin has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (454588K) : recog_esd has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (454588K) : recog_diode has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (454852K) : recog_tsv has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (454852K) : recog_iprobe has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (455116K) : recog_diffprb has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (455116K) : recog_pillar has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (455116K) : recog_sbump has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (455380K) : recog_otp has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (455380K) : recog_pdiode has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (455644K) : recog_mom has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (455644K) : recog_pcm has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (455644K) : colopen_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (455908K) : graphmetal1_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (455908K) : graphmetal1_filler has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (456172K) : graphmetal1_nofill has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (456172K) : graphmetal1_slit has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (456172K) : graphmetal1_opc has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (456436K) : graphmet1l_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (456436K) : graphmet1l_filler has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (456700K) : graphmet1l_nofill has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (456700K) : graphmet1l_slit has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (456700K) : graphmet1l_opc has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (456964K) : extblock_drw has 5 polygons
2026-03-28 00:56:55 +0100: Memory Usage (456964K) : nldd_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (457228K) : pldd_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (457228K) : next_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (457228K) : pext_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (457492K) : nexthv_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (457492K) : pexthv_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (457756K) : graphgate_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (457756K) : sinwg_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (457756K) : sinwg_filler has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (457756K) : sinwg_nofill has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (457756K) : mempad_drw has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (458020K) : topvia1_drw has 3590 polygons
2026-03-28 00:56:55 +0100: Memory Usage (458020K) : topmetal1_drw has 16 polygons
2026-03-28 00:56:55 +0100: Memory Usage (458020K) : topmetal1_pin has 11 polygons
2026-03-28 00:56:55 +0100: Memory Usage (458020K) : topmetal1_mask has 0 polygons
2026-03-28 00:56:55 +0100: Memory Usage (458020K) : topmetal1_filler has 0 polygons
