# Logfile created on 2026-03-25 02:33:03 +0100 by logger.rb/v1.5.3
2026-03-25 02:33:03 +0100: Memory Usage (436372K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic_backup/OTA_Telescopic_NO_FLATTEN/Layout_and_Related_files/OTA_Telescopic_TOP_wp.gds
2026-03-25 02:33:03 +0100: Memory Usage (436372K) : Ruby Version for klayout: 3.2.3
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : Loading database to memory is complete.
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic_backup/OTA_Telescopic_NO_FLATTEN/Layout_and_Related_files/drc_run_OTA_Telescopic_TOP_wp/OTA_Telescopic_TOP_wp_OTA_Telescopic_TOP_wp_topmetal1.lyrdb
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : Evaluate switches.
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : tables selected: topmetal1
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : deep mode is enabled.
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : FEOL enabled: false
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : BEOL enabled: false
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : OFFGRID enabled: true
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : PIN enabled: false
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : FORBIDDEN enabled: false
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : RECOMMENDED enabled: true
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : PreCheck DRC enabled: false
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : CONNECTIVITY_RULES enabled: false.
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : Read in polygons from layers.
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : activ_drw has 5032 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : activ_pin has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : activ_mask has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : activ_filler has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : activ_nofill has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : activ_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : activ_iopc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : activ_noqrc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : biwind_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438104K) : biwind_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439092K) : pemwind_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439092K) : gatpoly_drw has 2679 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439092K) : gatpoly_pin has 377 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439092K) : gatpoly_filler has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439092K) : gatpoly_nofill has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439092K) : gatpoly_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439356K) : gatpoly_iopc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439356K) : gatpoly_noqrc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439356K) : cont_drw has 24680 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439356K) : cont_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439612K) : nsd_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439612K) : nsd_block has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439612K) : metal1_drw has 7670 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439872K) : metal1_pin has 2038 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439872K) : metal1_mask has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439872K) : metal1_filler has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439872K) : metal1_nofill has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440136K) : metal1_slit has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440136K) : metal1_text has 1 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440136K) : metal1_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440136K) : metal1_noqrc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440136K) : metal1_res has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440516K) : metal1_iprobe has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440516K) : metal1_diffprb has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440516K) : passiv_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440516K) : passiv_pin has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440516K) : passiv_sbump has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440780K) : passiv_pillar has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440780K) : passiv_pdl has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440780K) : metal2_drw has 1317 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441396K) : metal2_pin has 11 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441396K) : metal2_mask has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441396K) : metal2_filler has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441396K) : metal2_nofill has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441396K) : metal2_slit has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441660K) : metal2_text has 6 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441744K) : metal2_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441744K) : metal2_noqrc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441744K) : metal2_res has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441744K) : metal2_iprobe has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442004K) : metal2_diffprb has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442004K) : baspoly_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442004K) : baspoly_pin has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442004K) : psd_drw has 1551 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442004K) : nldb_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442268K) : digibnd_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442268K) : via1_drw has 9054 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442268K) : backmetal1_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442592K) : backmetal1_pin has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442592K) : backmetal1_mask has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442592K) : backmetal1_filler has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442592K) : backmetal1_nofill has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442592K) : backmetal1_slit has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442856K) : backmetal1_text has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442856K) : backmetal1_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442856K) : backmetal1_noqrc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442856K) : backmetal1_res has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442856K) : backmetal1_iprobe has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443120K) : backmetal1_diffprb has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443120K) : backpassiv_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443120K) : res_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443120K) : sram_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443332K) : trans_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443332K) : ind_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443332K) : ind_pin has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443592K) : ind_text has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443592K) : salblock_drw has 7 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443592K) : via2_drw has 4753 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443724K) : metal3_drw has 226 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443724K) : metal3_pin has 8 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443984K) : metal3_mask has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444012K) : metal3_filler has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444012K) : metal3_nofill has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444012K) : metal3_slit has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444272K) : metal3_text has 2 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444272K) : metal3_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444272K) : metal3_noqrc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444272K) : metal3_res has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444272K) : metal3_iprobe has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444536K) : metal3_diffprb has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444536K) : nwell_drw has 1216 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444536K) : nwell_pin has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444536K) : nbulay_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444800K) : nbulay_pin has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444800K) : nbulay_block has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444800K) : emwind_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444916K) : emwind_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444916K) : deepco_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445084K) : deepco_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445084K) : mim_drw has 2 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445084K) : edgeseal_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445344K) : edgeseal_bound has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445344K) : substrate_drw has 723 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445344K) : substrate_text has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445344K) : dfpad_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445344K) : dfpad_pillar has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445608K) : dfpad_sbump has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445608K) : thickgateox_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445608K) : pldb_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445608K) : pwell_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445608K) : pwell_pin has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445872K) : pwell_block has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445872K) : ic_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (446016K) : via3_drw has 4357 polygons
